,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Name,Sector
0,2021-04-28,9.899999618530273,9.970000267028809,9.899999618530273,9.949999809265137,12300,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
1,2021-04-29,10.100000381469727,10.100000381469727,9.930000305175781,9.930000305175781,43100,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
2,2021-04-30,9.899999618530273,9.989999771118164,9.899999618530273,9.9399995803833,5400,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
3,2021-05-03,9.90999984741211,9.9399995803833,9.899999618530273,9.9399995803833,9300,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
4,2021-05-04,9.899999618530273,9.96500015258789,9.899999618530273,9.90999984741211,38300,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
5,2021-05-05,9.899999618530273,9.899999618530273,9.869999885559082,9.869999885559082,2400,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
6,2021-05-06,9.880000114440918,9.90999984741211,9.880000114440918,9.90999984741211,25400,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
7,2021-05-07,9.880000114440918,9.930000305175781,9.880000114440918,9.90999984741211,197600,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
8,2021-05-10,9.890000343322754,9.899999618530273,9.885000228881836,9.885000228881836,1083900,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
9,2021-05-11,10.0,10.0,9.850000381469727,9.90999984741211,8526200,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
10,2021-05-12,9.899999618530273,9.932000160217285,9.859999656677246,9.880000114440918,2389100,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
11,2021-05-13,9.90999984741211,9.989999771118164,9.850000381469727,9.880000114440918,2616400,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
12,2021-05-14,9.90999984741211,9.90999984741211,9.859999656677246,9.880000114440918,2454600,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
13,2021-05-17,9.880000114440918,9.920000076293945,9.859999656677246,9.890000343322754,1266300,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
14,2021-05-18,9.880000114440918,9.920000076293945,9.869999885559082,9.890000343322754,1204200,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
15,2021-05-19,9.880000114440918,9.890000343322754,9.859999656677246,9.880000114440918,1298000,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
16,2021-05-20,9.880000114440918,9.899999618530273,9.869999885559082,9.880000114440918,442100,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
17,2021-05-21,9.880000114440918,9.899999618530273,9.859999656677246,9.880000114440918,670600,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
18,2021-05-24,9.880000114440918,9.90999984741211,9.869999885559082,9.880000114440918,476700,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
19,2021-05-25,9.880000114440918,9.899999618530273,9.875,9.890000343322754,482500,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
20,2021-05-26,9.869999885559082,9.899999618530273,9.869999885559082,9.880000114440918,1524000,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
21,2021-05-27,9.869999885559082,9.899999618530273,9.850000381469727,9.890000343322754,810200,0.0,0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services
0,2021-04-28,9.899999618530273,9.90999984741211,9.890000343322754,9.890000343322754,80800,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
1,2021-04-29,9.880000114440918,9.890000343322754,9.826000213623047,9.890000343322754,4000,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
2,2021-04-30,9.819999694824219,9.819999694824219,9.770000457763672,9.770000457763672,500,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
3,2021-05-03,9.8100004196167,9.8100004196167,9.770000457763672,9.770000457763672,4700,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
4,2021-05-04,9.789999961853027,9.800000190734863,9.789999961853027,9.800000190734863,1000,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
5,2021-05-05,9.779999732971191,9.800000190734863,9.779999732971191,9.800000190734863,100300,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
6,2021-05-06,9.899999618530273,9.899999618530273,9.800000190734863,9.899999618530273,1400,0.0,0,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services
