Ticker,Company,Industry,Price,Dividends,ROI,Risk
AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
TPH,Tri Pointe Homes Inc. Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
APTS,Preferred Apartment Communities Inc. Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
BRFS,BRF S.A.,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk
PG,Procter & Gamble Company (The) Common Stock,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk
MED,MEDIFAST INC Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
AXR,AMREP Corporation Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
HEI,Heico Corporation Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
AVNT,Avient Corporation Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk
ACA,Arcosa Inc. Common Stock ,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
HUN,Huntsman Corporation Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk
VNT,Vontier Corporation Common Stock ,Technology,$ 24.490,$ 0.0000,0%,Low Risk
NOMD,Nomad Foods Limited Ordinary Shares,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk
MXF,Mexico Fund Inc. (The) Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
OCFT,OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing three ordinary shares,Technology,$ 24.490,$ 0.0000,0%,Low Risk
EQD,Equity Distribution Acquisition Corp. Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
FNV,Franco-Nevada Corporation,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk
CIR,CIRCOR International Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
SBR,Sabine Royalty Trust Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk
NRGX,PIMCO Energy and Tactical Credit Opportunities Fund Common Shares of Beneficial Interest,Undefined,$ 24.490,$ 0.0000,0%,Low Risk
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
PCM,PCM Fund Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
EVTC,Evertec Inc. Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk
BCE,BCE Inc. Common Stock,Communication Services,$ 24.490,$ 0.0000,0%,Low Risk
ENIA,Enel Americas S.A. American Depositary Shares,Utilities,$ 24.490,$ 0.0000,0%,Low Risk
FLNG,FLEX LNG Ltd. Ordinary Shares,Energy,$ 24.490,$ 0.0000,0%,Low Risk
EQC,Equity Commonwealth Common Shares of Beneficial Interest,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
TTC,Toro Company (The) Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk
FT,Franklin Universal Trust Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
RBAC,RedBall Acquisition Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
RENN,Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk
CCAC,CITIC Capital Acquisition Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
HFC,HollyFrontier Corporation Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk
FHS,First High-School Education Group Co. Ltd. American Depositary Shares,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk
ZBH,Zimmer Biomet Holdings Inc. Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
PSFE,Paysafe Limited Common Shares,Technology,$ 24.490,$ 0.0000,0%,Low Risk
ADCT,ADC Therapeutics SA Common Shares,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk
OPP,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
KN,Knowles Corporation Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk
GAPA,G&P Acquisition Corp. Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
PCI,PIMCO Dynamic Credit and Mortgage Income Fund Common Shares of Beneficial Interest,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk
