,Ticker,Company,Industry,Price,Dividends,ROI,Risk,Clusters
0,JEF,Jefferies Financial Group Inc. Common Stock,Financial Services,$32.2900,$0.0000,0%,Low Risk,2
1,MTOR,Meritor Inc. Common Stock,Consumer Cyclical,$26.7100,$0.0000,0%,Low Risk,1
2,MSC,Studio City International Holdings Limited American depositary shares each representing four  Class A ordinary shares,Consumer Cyclical,$11.0540,$0.0000,0%,Low Risk,3
3,CHE,Chemed Corp,Healthcare,$489.7000,$0.0000,0%,Low Risk,0
4,KRC,Kilroy Realty Corporation Common Stock,Real Estate,$72.5600,$0.0000,0%,Low Risk,0
5,GCV,Gabelli Convertible and Income Securities Fund Inc. (The) Common Stock,Financial Services,$6.4800,$0.0000,0%,Low Risk,2
6,CHMI,Cherry Hill Mortgage Investment Corporation Common Stock,Real Estate,$9.9800,$0.0000,0%,Low Risk,3
7,TDS,Telephone and Data Systems Inc. Common Shares,Communication Services,$26.0900,$0.0000,0%,Low Risk,6
8,NZF,Nuveen Municipal Credit Income Fund ,Financial Services,$16.9800,$0.0000,0%,Low Risk,2
9,STON,StoneMor Inc. Common Stock,Consumer Cyclical,$2.1100,$0.0000,0%,Low Risk,3
10,HXL,Hexcel Corporation Common Stock,Industrials,$60.3600,$0.0000,0%,Low Risk,0
11,GNW,Genworth Financial Inc Common Stock,Financial Services,$4.1800,$0.0000,0%,Low Risk,5
12,TUYA,Tuya Inc. American Depositary Shares each representing one Class A Ordinary Share,Technology,$25.9500,$0.0000,0%,Low Risk,1
13,DCP,DCP Midstream  LP Common Units ,Energy,$26.8000,$0.0000,0%,Low Risk,6
14,IPI,Intrepid Potash Inc Common Stock,Basic Materials,$30.5400,$0.0000,0%,Low Risk,1
15,NI,NiSource Inc Common Stock,Utilities,$25.4300,$0.0000,0%,Low Risk,3
16,DHF,BNY Mellon High Yield Strategies Fund Common Stock,Financial Services,$3.2000,$0.0000,0%,Low Risk,2
17,LEN,Lennar Corporation Class A Common Stock,Consumer Cyclical,$98.5000,$0.0000,0%,Low Risk,1
18,STEM,Stem Inc. Class A Common Stock,Technology,$27.6500,$0.0000,0%,Low Risk,1
19,TMO,Thermo Fisher Scientific Inc Common Stock,Healthcare,$447.0100,$0.0000,0%,Low Risk,0
20,C,Citigroup Inc. Common Stock,Financial Services,$79.7600,$0.0000,0%,Low Risk,8
21,CSTM,Constellium SE Ordinary Shares (France),Basic Materials,$18.2500,$0.0000,0%,Low Risk,3
22,ZUO,Zuora Inc. Class A Common Stock,Technology,$14.9800,$0.0000,0%,Low Risk,0
23,BBW,Build-A-Bear Workshop Inc. Common Stock,Consumer Cyclical,$16.7000,$0.0000,0%,Low Risk,3
