,Ticker,Company,Industry,Price,Dividends,ROI,Risk,Clusters
0,AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
1,PICC,Pivotal Investment Corporation III Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
2,TPH,Tri Pointe Homes Inc. Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,2
3,APTS,Preferred Apartment Communities Inc. Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,5
4,BRFS,BRF S.A.,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk,1
5,PG,Procter & Gamble Company (The) Common Stock,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk,3
6,MED,MEDIFAST INC Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,3
7,AXR,AMREP Corporation Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,1
8,HEI,Heico Corporation Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,3
9,AVNT,Avient Corporation Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk,2
10,ACA,Arcosa Inc. Common Stock ,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,3
11,HUN,Huntsman Corporation Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk,2
12,VNT,Vontier Corporation Common Stock ,Technology,$ 24.490,$ 0.0000,0%,Low Risk,2
13,NOMD,Nomad Foods Limited Ordinary Shares,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk,3
14,MXF,Mexico Fund Inc. (The) Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
15,OCFT,OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing three ordinary shares,Technology,$ 24.490,$ 0.0000,0%,Low Risk,2
16,EQD,Equity Distribution Acquisition Corp. Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,4
17,FNV,Franco-Nevada Corporation,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk,1
18,CIR,CIRCOR International Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,5
19,SBR,Sabine Royalty Trust Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk,1
20,NRGX,PIMCO Energy and Tactical Credit Opportunities Fund Common Shares of Beneficial Interest,Undefined,$ 24.490,$ 0.0000,0%,Low Risk,5
21,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,2
22,PCM,PCM Fund Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
23,EVTC,Evertec Inc. Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk,1
24,BCE,BCE Inc. Common Stock,Communication Services,$ 24.490,$ 0.0000,0%,Low Risk,3
25,ENIA,Enel Americas S.A. American Depositary Shares,Utilities,$ 24.490,$ 0.0000,0%,Low Risk,5
26,FLNG,FLEX LNG Ltd. Ordinary Shares,Energy,$ 24.490,$ 0.0000,0%,Low Risk,1
27,EQC,Equity Commonwealth Common Shares of Beneficial Interest,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,1
28,TTC,Toro Company (The) Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,3
29,FT,Franklin Universal Trust Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
30,RBAC,RedBall Acquisition Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,4
31,RENN,Renren Inc. American Depositary Shares each representing fifteen Class A ordinary shares,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,1
32,CCAC,CITIC Capital Acquisition Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
33,HFC,HollyFrontier Corporation Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk,2
34,FHS,First High-School Education Group Co. Ltd. American Depositary Shares,Consumer Defensive,$ 24.490,$ 0.0000,0%,Low Risk,1
35,MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
36,CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,1
37,ZBH,Zimmer Biomet Holdings Inc. Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk,5
38,PSFE,Paysafe Limited Common Shares,Technology,$ 24.490,$ 0.0000,0%,Low Risk,2
39,ADCT,ADC Therapeutics SA Common Shares,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk,1
40,OPP,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
41,KN,Knowles Corporation Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk,2
42,GAPA,G&P Acquisition Corp. Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
43,PCI,PIMCO Dynamic Credit and Mortgage Income Fund Common Shares of Beneficial Interest,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
44,DESP,Despegar.com Corp. Ordinary Shares,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,2
45,DTF,DTF Tax-Free Income Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
46,FSR,Fisker Inc. Class A Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,1
47,ANF,Abercrombie & Fitch Company Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,1
48,GIM,Templeton Global Income Fund Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
49,TPGS,TPG Pace Solutions Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
50,WIA,Western Asset Inflation-Linked Income Fund,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
51,HTGC,Hercules Capital Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
52,GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
53,AFB,AllianceBernstein National Municipal Income Fund Inc,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
54,EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
55,U,Unity Software Inc. Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk,6
56,PFO,Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
57,PTR,PetroChina Company Limited Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk,2
58,SIX,Six Flags Entertainment Corporation New Common Stock,Consumer Cyclical,$ 24.490,$ 0.0000,0%,Low Risk,2
59,BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
60,AIRC,Apartment Income REIT Corp. Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,3
61,MCI,Barings Corporate Investors Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
62,ECL,Ecolab Inc. Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk,1
63,LMND,Lemonade Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,4
64,AGCO,AGCO Corporation Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,3
65,VHI,Valhi Inc. Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk,2
66,OCA,Omnichannel Acquisition Corp. Class A Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
67,J,Jacobs Engineering Group Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,3
68,NXRT,NexPoint Residential Trust Inc. Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,3
69,NVST,Envista Holdings Corporation Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk,3
70,IR,Ingersoll Rand Inc. Common Stock,Industrials,$ 24.490,$ 0.0000,0%,Low Risk,3
71,ARR,ARMOUR Residential REIT Inc.,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,1
72,GGM,Guggenheim Credit Allocation Fund Common Shares of Beneficial Interest,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,4
73,PK,Park Hotels & Resorts Inc. Common Stock ,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,5
74,LXU,LSB Industries Inc. Common Stock,Basic Materials,$ 24.490,$ 0.0000,0%,Low Risk,5
75,MCK,McKesson Corporation Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk,3
76,ZUO,Zuora Inc. Class A Common Stock,Technology,$ 24.490,$ 0.0000,0%,Low Risk,1
77,CMCM,Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares,Technology,$ 24.490,$ 0.0000,0%,Low Risk,5
78,OMF,OneMain Holdings Inc. Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
79,FVRR,Fiverr International Ltd. Ordinary Shares no par value,Communication Services,$ 24.490,$ 0.0000,0%,Low Risk,3
80,WRI,Weingarten Realty Investors Common Stock,Real Estate,$ 24.490,$ 0.0000,0%,Low Risk,3
81,DASH,DoorDash Inc. Class A Common Stock,Communication Services,$ 24.490,$ 0.0000,0%,Low Risk,1
82,GKOS,Glaukos Corporation Common Stock,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk,3
83,FI,Frank's International N.V. Common Stock,Energy,$ 24.490,$ 0.0000,0%,Low Risk,5
84,AWF,Alliancebernstein Global High Income Fund,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,0
85,SMM,Salient Midstream Common Shares of Beneficial Interest,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,4
86,STE,STERIS plc (Ireland) Ordinary Shares,Healthcare,$ 24.490,$ 0.0000,0%,Low Risk,3
87,NXN,Nuveen New York Select Tax-Free Income Portfolio Common Stock,Financial Services,$ 24.490,$ 0.0000,0%,Low Risk,4
